description,domain,sub_domain
Streaming in the entertainment domain is the domain of streaming.,Entertainment,Streaming
Blockchain is a technology that is used to make money.,Technology,Blockchain
Insurance is a financial sector that deals with insurance.,Finance,Insurance
Fintech is the field of finance that deals with the finance sector.,Finance,Fintech
Investments in the Finance domain is the domain of investment in the finance sector.,Finance,Investments
Blockchain is a technology that is used to make money.,Technology,Blockchain
Diagnostics in the Healthcare domain is the domain of medicine and health care.,Healthcare,Diagnostics
Music in the entertainment domain is the domain of music.,Entertainment,Music
Fintech is the field of finance that deals with the finance sector.,Finance,Fintech
Cryptocurrency is a financial derivatives market that is regulated by the Financial Conduct Authority (FCA). Cryptocurrency is a derivative of the securities market.,Finance,Cryptocurrency
Surgery in the Healthcare domain is the study of surgery in the healthcare domain.,Healthcare,Surgery
"E-learning is a technology that allows learners to learn from a single source, and thus to be able to learn from multiple sources.",Education,E-learning
Cryptocurrency is a financial derivatives market that is regulated by the Financial Conduct Authority (FCA). Cryptocurrency is a derivative of the securities market.,Finance,Cryptocurrency
"Law & Justice in the Governance domain is a book by the author of the book ""The Law & Justice in the Governance Domain"".",Governance,Law & Justice
The Regulatory Compliance Act of 1998 (Regulation) provides for the regulation of the regulatory compliance of the regulatory system.,Governance,Regulatory Compliance
The Regulatory Compliance Act of 1998 (Regulation) provides for the regulation of the regulatory compliance of the regulatory system.,Governance,Regulatory Compliance
Streaming in the entertainment domain is the domain of streaming.,Entertainment,Streaming
Movies in the entertainment domain.,Entertainment,Movies
Telemedicine is a medical field that focuses on the use of technology to provide healthcare services.,Healthcare,Telemedicine
Diagnostics in the Healthcare domain is the domain of medicine and health care.,Healthcare,Diagnostics
Movies in the entertainment domain.,Entertainment,Movies
Diagnostics in the Healthcare domain is the domain of medicine and health care.,Healthcare,Diagnostics
MOOCs in the education domain are a broad range of educational activities that are designed to help students learn about the world around them.,Education,MOOCs
The Regulatory Compliance Act of 1998 (Regulation) provides for the regulation of the regulatory compliance of the regulatory system.,Governance,Regulatory Compliance
